id,title,type,source,url,language
1,C ncer de pulmḃn,cancer,Instituto Nacional del C ncer (NCI),https://www.cancer.org/es/cancer/tipos/cancer-de-pulmon/deteccion-diagnostico-clasificacion-por-etapas/senales-sintomas.html,es
2,C ncer de mama,cancer,Instituto Nacional del C ncer (NCI),https://www.breastcancer.org/es/indicios-sintomas?gad_source=1&gad_campaignid=71815092&gbraid=0AAAAAD_jk-7dKlZ0PeS5JZPf9sf-JDURP&gclid=CjwKCAjw5NvPBhAoEiwA_2egfm_fZJWJ9ao_oSyo-JK3-qwjQjHbxVDLVZDP0MCUcu-rC4Zl5ZnahhoCAHgQAvD_BwE,es
3,C ncer de colon y recto,cancer,American Cancer Society (ACS),https://www.mayoclinic.org/es/diseases-conditions/colon-cancer/symptoms-causes/syc-20353669,es
4,C ncer de piel,cancer,Instituto Nacional del C ncer (NCI),https://www.mayoclinic.org/es/diseases-conditions/skin-cancer/symptoms-causes/syc-20377605,es
5,C ncer de prḃstata,cancer,Instituto Nacional del C ncer (NCI),https://www.mayoclinic.org/es/diseases-conditions/prostate-cancer/symptoms-causes/syc-20353087,es
6,C ncer de estḃmago,cancer,Instituto Nacional del C ncer (NCI),https://www.cancer.org/es/cancer/tipos/cancer-de-estomago/deteccion-diagnostico-clasificacion-por-etapas/senales-sintomas.html,es
7,C ncer de hḂgado,cancer,Instituto Nacional del C ncer (NCI),https://cancerquest.org/es/para-los-pacientes/cancer-por-tipo/cancer-de-higado?gad_source=1&gad_campaignid=220598422&gbraid=0AAAAAD9dH5ILU1o2WX3jlnZtu0M409MIK&gclid=CjwKCAjw5NvPBhAoEiwA_2egfhu-gzIbRpYNwKHZLCwpY-hJc8PhWtIg15nGfF9vRRetAHeBaqH1axoCyvQQAvD_BwE,es
8,C ncer de p ncreas,cancer,Instituto Nacional del C ncer (NCI),https://www.cancer.org/es/cancer/tipos/cancer-de-pancreas/deteccion-diagnostico-clasificacion-por-etapas/senales-y-sintomas.html,es
9,Leucemia,cancer,Instituto Nacional del C ncer (NCI),https://www.mayoclinic.org/es/diseases-conditions/leukemia/symptoms-causes/syc-20374373,es
10,C ncer cervicouterino,cancer,Instituto Nacional del C ncer (NCI),https://www.mayoclinic.org/es/diseases-conditions/cervical-cancer/symptoms-causes/syc-20352501,es
